Manuscript	Journal Specifications	Please follow the sequence of publication materials required by [your target journal]. [insert]
Manuscript	Essentials	"Please provide 3-5 brief bullets of information that outline the essential points or messages of your manuscript, indicating page numbers for each item"
Manuscript	Personal Communication	Radiology styles do not generally allow for personal communication. Either find an appropriate reference or revise this statement
Manuscript	SOA Manuscript	"Non-original manuscripts have more flexibility for the author, and it is understandable if you do not wish to revise due to disagreement; however, we recommend that you give very careful consideration to all reviewer comments"
General Comments	Cost-Effectiveness	"Did you or a consultant perform an analysis of cost-effectiveness? If so, please include this information. If not, consider assessing the cost-effectiveness"
General Comments	Clarity of Hypothesis	Your hypothesis lacks clarity. Please revise it to succinctly and clearly communicate your hypothesis
General Comments	Eliminate Claims of Priority	"Eliminate all unnecessary claims of priority. Editors dislike overt assertions such as “we were the first” or “for the first time;” through acceptance and publication, the originality and relevance of your research should become apparent"
General Comments	Write Out Acronyms	"When you first introduce an acronym, write out all of the words and then include the acronym in parentheses. Henceforth, you can use only the acronym"
General Comments	Word Limit Restrictions	"[Your target journal] limits submissions to [#] words or fewer. Your unedited manuscript had [#] words, but through the process of word reduction we reached a word count of [#]"
General Comments	Discrepancy between Abstract and Study	"Your description of your study does not directly follow your abstract, please revise to eliminate this inconsistency"
General Comments	Discrepancy between Results and Conclusion	"Your conclusion does not directly follow your results, please revise to eliminate this inconsistency"
General Comments	Overly Focused on Sub-group	"Your conclusions are too reliant on certain sub-groups, please expand to include all data and results"
General Comments	Selective Reporting of Results	"In our reading of the manuscript, you appear to overemphasize the positive findings and either downplay or fail to mention the negative findings. In order to ensure objectivity, expand your discussion to more accurately reflect the data. This will not diminish your research in the eyes of the editors or readership, as they prefer papers devoid of bias"
General Comments	Summary Statement	The desired format for a summary statement is one sentence--sometimes transcribed from your discussion section--that encapsulates the significance of your study
General Comments	Abbreviations	Write out all abbreviations the first time used in the following sections: advances in knowledge; implications for patient care; abstract; introduction; figures
General Comments	Add Implications for Patient Care	Journals prefer if you include up to three sentences about the implications of your research on patient care as part of this section. We recommend that you include this in your revised manuscript
General Comments	Journal Formatting	Your formatting here does not match the requirements of [your target journal]. Please alter them in the following way: [insert]
General Comments	Advances in Knowledge	Strengthen your Advances in Knowledge section by incorporating quantitative data
General Comments	AIK for Radiology	"The Journal Radiology requires authors to write an “Advances in Knowledge” section, listing new findings (Note: NOT the methods) in up to five numbered sentences"
General Comments	Advances in Knowledge and Implications for Patient Care	"The “Advances in Knowledge” and “Implications for Patient Care” offer readers a direct look at the importance of your research. Therefore, please keep them short and specific, strive for clarity, and correlate them with your results"
Terms	Significance	"The word “significant” should only be used in reference to statistics, with p-value included. Please choose a suitable synonym"
Terms	Priority	"Avoid overt and nonspecific claims of priority. If your paper is novel, this should come across in your Discussions section quite clearly, and possibly in your statement of the study’s aim"
Terms	Claims of Novelty in Titles	"We advise against using claims of novelty in a title; instead, state the basic premise of the research and its importance"
Terms	Preference of 'References'	"Journals prefer the term “reference” whenever mention is made of the influencing, competing, or related literature"
Terms	Dosage Description	"Journals prefer specific information about dosage, usually following parameters offered by the journal. We recommend that you describe your dosages in as much non-relative detail as possible following journal parameters"
Terms	Our Study'	"Journals prefer the term “our” when referencing your study, use this rather than any other indicator"
Terms	High Resolution MRI	"Journals prefer specific information about “high resolution MRI,” please include details concerning which aspect of the MRI is “high” resolution and, if necessary, numerical details"
Terms	Density vs. Attenuation	Journals prefer the term “attenuation” to the term “density”
Terms	Correlation	The word “correlation” should only be used in reference to statistics. Please choose a suitable synonym
Terms	Plain Film vs. Radiograph	Journals prefer the term “radiograph”/”conventional radiograph” to the term “plain film”
Terms	Cases	"Instead of using the word “case(s),” choose the specific alternative that informs the reader of the exact nature of the “case,” i.e., “patients,” “studies,” etc"
